"id","created_at","name","has_test","alternate_url"
"117558942","2025-08-20T12:25:04+0300","Junior",false,"https://hh.ru/vacancy/117558942"
"124449246","2025-08-25T15:52:47+0300","Junior",false,"https://hh.ru/vacancy/124449246"
"124553813","2025-08-27T15:28:41+0300","Junior",false,"https://hh.ru/vacancy/124553813"
"124586791","2025-08-28T12:01:00+0300","-",false,"https://hh.ru/vacancy/124586791"
"124959468","2025-09-05T17:55:32+0300","-",false,"https://hh.ru/vacancy/124959468"
"121370571","2025-09-08T17:53:19+0300","-",false,"https://hh.ru/vacancy/121370571"
"125229556","2025-09-11T14:35:25+0300","-",false,"https://hh.ru/vacancy/125229556"
"125322760","2025-09-15T11:35:24+0300","-",false,"https://hh.ru/vacancy/125322760"
"125390186","2025-09-16T13:59:08+0300","Middle",false,"https://hh.ru/vacancy/125390186"
"125404929","2025-09-16T17:19:49+0300","-",false,"https://hh.ru/vacancy/125404929"
"125406932","2025-09-16T17:50:42+0300","-",false,"https://hh.ru/vacancy/125406932"
"125409444","2025-09-16T19:59:40+0300","-",false,"https://hh.ru/vacancy/125409444"
"125419091","2025-09-17T09:21:06+0300","Junior",false,"https://hh.ru/vacancy/125419091"
"125204006","2025-09-17T10:38:49+0300","-",false,"https://hh.ru/vacancy/125204006"
"125441806","2025-09-17T14:27:03+0300","-",false,"https://hh.ru/vacancy/125441806"
"125445133","2025-09-17T15:17:12+0300","Junior",false,"https://hh.ru/vacancy/125445133"
"125476331","2025-09-18T11:48:12+0300","-",false,"https://hh.ru/vacancy/125476331"
"124550560","2025-09-18T14:31:36+0300","Junior",false,"https://hh.ru/vacancy/124550560"
"125487039","2025-09-18T14:36:50+0300","-",false,"https://hh.ru/vacancy/125487039"
"125498150","2025-09-18T17:18:56+0300","-",false,"https://hh.ru/vacancy/125498150"
